PhysicalActivity5OrMoreDays,activity_days,QN80_group,BMIPCT
2.0,1.0,Did not meet recommendation,66.5318241
1.0,0.0,Did not meet recommendation,98.17431868
1.0,0.0,Did not meet recommendation,33.07553097
7.0,6.0,Met recommendation,45.68833421
6.0,5.0,Met recommendation,62.39033084
1.0,0.0,Did not meet recommendation,13.9696424
1.0,0.0,Did not meet recommendation,80.35879541
2.0,1.0,Did not meet recommendation,80.08049978
4.0,3.0,Did not meet recommendation,35.25725233
6.0,5.0,Met recommendation,80.35879541
1.0,0.0,Did not meet recommendation,76.77275392
8.0,7.0,Met recommendation,41.90226796
8.0,7.0,Met recommendation,49.68153626
8.0,7.0,Met recommendation,50.94662272
5.0,4.0,Did not meet recommendation,69.5988229
4.0,3.0,Did not meet recommendation,98.54569735
3.0,2.0,Did not meet recommendation,99.62699856
1.0,0.0,Did not meet recommendation,95.67686938
6.0,5.0,Met recommendation,66.97871065
8.0,7.0,Met recommendation,77.24197648
2.0,1.0,Did not meet recommendation,96.7831408
5.0,4.0,Did not meet recommendation,42.1484795
2.0,1.0,Did not meet recommendation,94.07864967
1.0,0.0,Did not meet recommendation,92.75239448
1.0,0.0,Did not meet recommendation,94.79064882
4.0,3.0,Did not meet recommendation,41.70582009
1.0,0.0,Did not meet recommendation,96.62103194
8.0,7.0,Met recommendation,86.84669781
2.0,1.0,Did not meet recommendation,71.27637135
8.0,7.0,Met recommendation,78.9594291
3.0,2.0,Did not meet recommendation,75.69056427
5.0,4.0,Did not meet recommendation,68.88518339
6.0,5.0,Met recommendation,19.66638439
1.0,0.0,Did not meet recommendation,58.90305846
1.0,0.0,Did not meet recommendation,87.30348222
3.0,2.0,Did not meet recommendation,19.34593133
2.0,1.0,Did not meet recommendation,97.16947681
1.0,0.0,Did not meet recommendation,13.9696424
1.0,0.0,Did not meet recommendation,94.79404677
1.0,0.0,Did not meet recommendation,16.53387163
5.0,4.0,Did not meet recommendation,59.97282837
2.0,1.0,Did not meet recommendation,29.31796292
8.0,7.0,Met recommendation,52.96298965
4.0,3.0,Did not meet recommendation,57.45496513
7.0,6.0,Met recommendation,62.39033084
6.0,5.0,Met recommendation,15.1779208
8.0,7.0,Met recommendation,1.812713435
3.0,2.0,Did not meet recommendation,57.45496513
8.0,7.0,Met recommendation,95.05281444
8.0,7.0,Met recommendation,43.19281437
4.0,3.0,Did not meet recommendation,64.73433168
5.0,4.0,Did not meet recommendation,83.03210906
6.0,5.0,Met recommendation,85.76711283
7.0,6.0,Met recommendation,93.5206906
2.0,1.0,Did not meet recommendation,65.88575167
8.0,7.0,Met recommendation,87.29843376
8.0,7.0,Met recommendation,93.98925052
6.0,5.0,Met recommendation,83.72971442
8.0,7.0,Met recommendation,60.66321529
8.0,7.0,Met recommendation,50.10948386
6.0,5.0,Met recommendation,96.62999717
4.0,3.0,Did not meet recommendation,98.44322633
6.0,5.0,Met recommendation,51.77995186
8.0,7.0,Met recommendation,38.53470375
3.0,2.0,Did not meet recommendation,97.32417296
1.0,0.0,Did not meet recommendation,41.70582009
5.0,4.0,Did not meet recommendation,47.52350758
5.0,4.0,Did not meet recommendation,20.46953227
8.0,7.0,Met recommendation,75.4379744
2.0,1.0,Did not meet recommendation,32.74319281
6.0,5.0,Met recommendation,92.86925353
7.0,6.0,Met recommendation,81.62895753
1.0,0.0,Did not meet recommendation,45.33714908
8.0,7.0,Met recommendation,83.06926617
2.0,1.0,Did not meet recommendation,91.60778436
1.0,0.0,Did not meet recommendation,45.33714908
7.0,6.0,Met recommendation,36.51881463
8.0,7.0,Met recommendation,55.18146429
1.0,0.0,Did not meet recommendation,61.92023551
4.0,3.0,Did not meet recommendation,65.84221705
4.0,3.0,Did not meet recommendation,35.20622619
3.0,2.0,Did not meet recommendation,97.18899955
5.0,4.0,Did not meet recommendation,82.05508744
3.0,2.0,Did not meet recommendation,90.62341985
1.0,0.0,Did not meet recommendation,66.08178759
1.0,0.0,Did not meet recommendation,82.19258456
1.0,0.0,Did not meet recommendation,54.40385458
5.0,4.0,Did not meet recommendation,94.7249625
2.0,1.0,Did not meet recommendation,52.25342381
3.0,2.0,Did not meet recommendation,72.21362837
1.0,0.0,Did not meet recommendation,77.04936127
4.0,3.0,Did not meet recommendation,26.67157309
4.0,3.0,Did not meet recommendation,96.59822418
2.0,1.0,Did not meet recommendation,87.00265796
1.0,0.0,Did not meet recommendation,71.77163239
1.0,0.0,Did not meet recommendation,80.9826523
1.0,0.0,Did not meet recommendation,98.45821402
1.0,0.0,Did not meet recommendation,53.62901996
4.0,3.0,Did not meet recommendation,51.32765319
1.0,0.0,Did not meet recommendation,82.7114493
1.0,0.0,Did not meet recommendation,96.62805126
1.0,0.0,Did not meet recommendation,78.10688836
3.0,2.0,Did not meet recommendation,50.27447135
1.0,0.0,Did not meet recommendation,97.8304981
8.0,7.0,Met recommendation,67.35690955
1.0,0.0,Did not meet recommendation,99.47646663
6.0,5.0,Met recommendation,54.75617318
1.0,0.0,Did not meet recommendation,89.90649736
1.0,0.0,Did not meet recommendation,30.89048164
5.0,4.0,Did not meet recommendation,34.10784442
2.0,1.0,Did not meet recommendation,98.13332826
6.0,5.0,Met recommendation,93.60689746
8.0,7.0,Met recommendation,27.81918727
1.0,0.0,Did not meet recommendation,73.91347781
4.0,3.0,Did not meet recommendation,58.167767
4.0,3.0,Did not meet recommendation,44.70874303
3.0,2.0,Did not meet recommendation,81.5523064
7.0,6.0,Met recommendation,98.17687957
3.0,2.0,Did not meet recommendation,81.82099807
6.0,5.0,Met recommendation,31.315611
5.0,4.0,Did not meet recommendation,42.35560365
3.0,2.0,Did not meet recommendation,59.47446449
1.0,0.0,Did not meet recommendation,52.82514857
1.0,0.0,Did not meet recommendation,51.9110774
1.0,0.0,Did not meet recommendation,99.50570658
1.0,0.0,Did not meet recommendation,78.28265536
4.0,3.0,Did not meet recommendation,69.54558992
8.0,7.0,Met recommendation,63.68390278
1.0,0.0,Did not meet recommendation,32.79325237
2.0,1.0,Did not meet recommendation,89.82805567
6.0,5.0,Met recommendation,50.5995942
1.0,0.0,Did not meet recommendation,87.50167897
8.0,7.0,Met recommendation,23.70077074
1.0,0.0,Did not meet recommendation,57.38131801
3.0,2.0,Did not meet recommendation,59.1349812
1.0,0.0,Did not meet recommendation,97.15410227
1.0,0.0,Did not meet recommendation,51.81370585
1.0,0.0,Did not meet recommendation,53.65951294
2.0,1.0,Did not meet recommendation,95.81029039
1.0,0.0,Did not meet recommendation,97.10273335
5.0,4.0,Did not meet recommendation,45.26162121
6.0,5.0,Met recommendation,76.3857129
7.0,6.0,Met recommendation,63.31177575
1.0,0.0,Did not meet recommendation,74.41919519
1.0,0.0,Did not meet recommendation,94.89062216
1.0,0.0,Did not meet recommendation,35.18872425
7.0,6.0,Met recommendation,70.2948453
8.0,7.0,Met recommendation,66.5318241
1.0,0.0,Did not meet recommendation,46.4073505
1.0,0.0,Did not meet recommendation,99.49405991
6.0,5.0,Met recommendation,79.09665201
2.0,1.0,Did not meet recommendation,84.57523065
7.0,6.0,Met recommendation,66.83362843
1.0,0.0,Did not meet recommendation,79.36575134
1.0,0.0,Did not meet recommendation,96.87222741
6.0,5.0,Met recommendation,79.21086246
3.0,2.0,Did not meet recommendation,93.38873457
1.0,0.0,Did not meet recommendation,95.04052672
1.0,0.0,Did not meet recommendation,90.98298351
7.0,6.0,Met recommendation,92.39337265
5.0,4.0,Did not meet recommendation,83.7161669
1.0,0.0,Did not meet recommendation,43.14984367
8.0,7.0,Met recommendation,15.29718496
1.0,0.0,Did not meet recommendation,54.40385458
4.0,3.0,Did not meet recommendation,99.81899915
7.0,6.0,Met recommendation,72.06573405
1.0,0.0,Did not meet recommendation,16.03372613
3.0,2.0,Did not meet recommendation,83.90660452
8.0,7.0,Met recommendation,52.2899712
1.0,0.0,Did not meet recommendation,93.56257408
1.0,0.0,Did not meet recommendation,51.44659085
1.0,0.0,Did not meet recommendation,76.13913858
8.0,7.0,Met recommendation,32.3855029
4.0,3.0,Did not meet recommendation,13.16010488
5.0,4.0,Did not meet recommendation,90.70482965
3.0,2.0,Did not meet recommendation,98.46004967
2.0,1.0,Did not meet recommendation,98.1620765
5.0,4.0,Did not meet recommendation,87.32744126
2.0,1.0,Did not meet recommendation,62.75875953
4.0,3.0,Did not meet recommendation,92.09238408
8.0,7.0,Met recommendation,72.40481299
4.0,3.0,Did not meet recommendation,32.35454194
8.0,7.0,Met recommendation,47.11027439
1.0,0.0,Did not meet recommendation,73.65945206
6.0,5.0,Met recommendation,75.94273757
1.0,0.0,Did not meet recommendation,45.84835334
1.0,0.0,Did not meet recommendation,91.41797055
1.0,0.0,Did not meet recommendation,95.26327504
1.0,0.0,Did not meet recommendation,95.77021638
2.0,1.0,Did not meet recommendation,97.402769
1.0,0.0,Did not meet recommendation,70.67451976
1.0,0.0,Did not meet recommendation,98.86075815
6.0,5.0,Met recommendation,16.34633408
2.0,1.0,Did not meet recommendation,5.221698862
1.0,0.0,Did not meet recommendation,85.29469889
3.0,2.0,Did not meet recommendation,79.65116681
8.0,7.0,Met recommendation,87.66542983
1.0,0.0,Did not meet recommendation,50.95276905
1.0,0.0,Did not meet recommendation,94.34347293
1.0,0.0,Did not meet recommendation,84.67610222
5.0,4.0,Did not meet recommendation,72.13833601
5.0,4.0,Did not meet recommendation,71.04906399
3.0,2.0,Did not meet recommendation,43.14984367
1.0,0.0,Did not meet recommendation,75.73919519
3.0,2.0,Did not meet recommendation,56.95841633
1.0,0.0,Did not meet recommendation,89.0685033
3.0,2.0,Did not meet recommendation,56.12875598
3.0,2.0,Did not meet recommendation,69.82409651
5.0,4.0,Did not meet recommendation,97.02213328
5.0,4.0,Did not meet recommendation,89.45507565
1.0,0.0,Did not meet recommendation,30.14155853
3.0,2.0,Did not meet recommendation,90.445849
1.0,0.0,Did not meet recommendation,83.32303085
1.0,0.0,Did not meet recommendation,44.3547711
3.0,2.0,Did not meet recommendation,36.09086758
5.0,4.0,Did not meet recommendation,32.79325237
1.0,0.0,Did not meet recommendation,89.46125467
6.0,5.0,Met recommendation,55.06915825
6.0,5.0,Met recommendation,12.7812687
7.0,6.0,Met recommendation,97.56644906
8.0,7.0,Met recommendation,90.64159581
4.0,3.0,Did not meet recommendation,93.57446282
3.0,2.0,Did not meet recommendation,88.67030744
1.0,0.0,Did not meet recommendation,69.8037989
1.0,0.0,Did not meet recommendation,91.74867665
1.0,0.0,Did not meet recommendation,62.47075585
8.0,7.0,Met recommendation,62.19393818
1.0,0.0,Did not meet recommendation,95.96968872
1.0,0.0,Did not meet recommendation,52.00817272
3.0,2.0,Did not meet recommendation,92.17328593
4.0,3.0,Did not meet recommendation,29.36620695
8.0,7.0,Met recommendation,74.42424318
4.0,3.0,Did not meet recommendation,93.8171533
3.0,2.0,Did not meet recommendation,77.43318673
5.0,4.0,Did not meet recommendation,31.08786145
6.0,5.0,Met recommendation,52.41472276
3.0,2.0,Did not meet recommendation,51.05664155
2.0,1.0,Did not meet recommendation,47.49270385
4.0,3.0,Did not meet recommendation,87.32319147
5.0,4.0,Did not meet recommendation,66.84791246
7.0,6.0,Met recommendation,96.0698293
1.0,0.0,Did not meet recommendation,96.53495056
2.0,1.0,Did not meet recommendation,72.59307595
3.0,2.0,Did not meet recommendation,57.23154694
1.0,0.0,Did not meet recommendation,96.66907244
6.0,5.0,Met recommendation,95.06926956
8.0,7.0,Met recommendation,95.67864261
1.0,0.0,Did not meet recommendation,7.539064645
8.0,7.0,Met recommendation,65.88575167
2.0,1.0,Did not meet recommendation,99.25075881
6.0,5.0,Met recommendation,98.60384523
8.0,7.0,Met recommendation,95.5627807
4.0,3.0,Did not meet recommendation,93.82384404
4.0,3.0,Did not meet recommendation,64.26150224
4.0,3.0,Did not meet recommendation,95.75831461
7.0,6.0,Met recommendation,49.31286868
8.0,7.0,Met recommendation,80.48537598
4.0,3.0,Did not meet recommendation,98.44322633
6.0,5.0,Met recommendation,98.20741258
2.0,1.0,Did not meet recommendation,97.37935273
4.0,3.0,Did not meet recommendation,82.52624851
1.0,0.0,Did not meet recommendation,98.04338304
8.0,7.0,Met recommendation,72.15157479
5.0,4.0,Did not meet recommendation,78.34535674
6.0,5.0,Met recommendation,62.89553884
5.0,4.0,Did not meet recommendation,51.96787195
5.0,4.0,Did not meet recommendation,79.08474787
3.0,2.0,Did not meet recommendation,98.89868045
2.0,1.0,Did not meet recommendation,97.46205604
2.0,1.0,Did not meet recommendation,17.61177125
4.0,3.0,Did not meet recommendation,98.1460872
3.0,2.0,Did not meet recommendation,97.94473227
2.0,1.0,Did not meet recommendation,95.23628309
4.0,3.0,Did not meet recommendation,69.86952348
6.0,5.0,Met recommendation,82.18267485
7.0,6.0,Met recommendation,41.16151426
4.0,3.0,Did not meet recommendation,84.69244832
1.0,0.0,Did not meet recommendation,0.127623738
5.0,4.0,Did not meet recommendation,15.04494477
2.0,1.0,Did not meet recommendation,94.54022686
2.0,1.0,Did not meet recommendation,66.08825915
6.0,5.0,Met recommendation,84.68486522
1.0,0.0,Did not meet recommendation,25.72210511
8.0,7.0,Met recommendation,68.36945909
3.0,2.0,Did not meet recommendation,97.43232997
1.0,0.0,Did not meet recommendation,88.19401121
3.0,2.0,Did not meet recommendation,93.76714147
3.0,2.0,Did not meet recommendation,52.13911665
4.0,3.0,Did not meet recommendation,97.02213328
3.0,2.0,Did not meet recommendation,14.02708141
1.0,0.0,Did not meet recommendation,55.41633193
5.0,4.0,Did not meet recommendation,51.74396482
3.0,2.0,Did not meet recommendation,54.82320838
2.0,1.0,Did not meet recommendation,44.29519256
3.0,2.0,Did not meet recommendation,0.351195405
1.0,0.0,Did not meet recommendation,48.82355055
2.0,1.0,Did not meet recommendation,24.19083228
1.0,0.0,Did not meet recommendation,56.12271161
3.0,2.0,Did not meet recommendation,97.76629197
1.0,0.0,Did not meet recommendation,84.46222906
2.0,1.0,Did not meet recommendation,26.68936925
3.0,2.0,Did not meet recommendation,95.21258449
2.0,1.0,Did not meet recommendation,96.55158594
7.0,6.0,Met recommendation,80.3927078
3.0,2.0,Did not meet recommendation,26.68936925
2.0,1.0,Did not meet recommendation,96.43759959
3.0,2.0,Did not meet recommendation,50.280802
3.0,2.0,Did not meet recommendation,79.73361306
1.0,0.0,Did not meet recommendation,84.25378028
3.0,2.0,Did not meet recommendation,57.95910476
3.0,2.0,Did not meet recommendation,81.37814313
3.0,2.0,Did not meet recommendation,55.15612985
1.0,0.0,Did not meet recommendation,80.1306852
3.0,2.0,Did not meet recommendation,1.223660196
3.0,2.0,Did not meet recommendation,97.17383472
3.0,2.0,Did not meet recommendation,68.13816439
3.0,2.0,Did not meet recommendation,19.65942265
3.0,2.0,Did not meet recommendation,68.08272065
3.0,2.0,Did not meet recommendation,36.04892235
3.0,2.0,Did not meet recommendation,36.97117788
1.0,0.0,Did not meet recommendation,91.16514243
2.0,1.0,Did not meet recommendation,84.57262784
3.0,2.0,Did not meet recommendation,97.36508485
3.0,2.0,Did not meet recommendation,38.77914215
1.0,0.0,Did not meet recommendation,95.0797674
3.0,2.0,Did not meet recommendation,60.52327398
3.0,2.0,Did not meet recommendation,62.22547319
3.0,2.0,Did not meet recommendation,71.04906399
3.0,2.0,Did not meet recommendation,67.24002801
3.0,2.0,Did not meet recommendation,31.17365695
1.0,0.0,Did not meet recommendation,21.67031209
2.0,1.0,Did not meet recommendation,82.04981347
3.0,2.0,Did not meet recommendation,73.69856523
3.0,2.0,Did not meet recommendation,48.88422202
3.0,2.0,Did not meet recommendation,25.54426508
1.0,0.0,Did not meet recommendation,65.72450251
5.0,4.0,Did not meet recommendation,47.57670396
1.0,0.0,Did not meet recommendation,32.35454194
4.0,3.0,Did not meet recommendation,48.32468565
3.0,2.0,Did not meet recommendation,84.25378028
7.0,6.0,Met recommendation,72.37341512
3.0,2.0,Did not meet recommendation,42.28388655
8.0,7.0,Met recommendation,40.5504485
4.0,3.0,Did not meet recommendation,31.07256054
3.0,2.0,Did not meet recommendation,18.46382222
1.0,0.0,Did not meet recommendation,44.48848749
3.0,2.0,Did not meet recommendation,17.10726474
2.0,1.0,Did not meet recommendation,55.87295671
2.0,1.0,Did not meet recommendation,71.73217243
3.0,2.0,Did not meet recommendation,64.30723303
5.0,4.0,Did not meet recommendation,77.20364961
3.0,2.0,Did not meet recommendation,77.04936127
2.0,1.0,Did not meet recommendation,83.65146996
3.0,2.0,Did not meet recommendation,28.19590588
1.0,0.0,Did not meet recommendation,70.31917473
2.0,1.0,Did not meet recommendation,74.73837182
